Anio;Area cosechada (ha);Produccion (toneladas);Rendimiento (kg/ha)
1961;28610;22494;786.2
1962;30040;24364;811.1
1963;29640;25060;845.5
1964;19390;17635;909.5
1965;19485;18533;951.1
1966;17835;12583;705.5
1967;18305;14347;783.8
1968;10060;5245;521.4
1969;16955;7563;446.1
1970;16370;7307;446.4
1971;15035;6405;426
1972;13020;6202;476.3
1973;13250;7130;538.1
1974;12980;6572;506.3
1975;13228;8142;615.5
1976;15065;8676;575.9
1977;19747;10679;540.8
1978;19439;10231;526.3
1979;17231;9286;538.9
1980;18634;16324;876
1981;18384;13112;713.2
1982;21652;17028;786.4
1983;14363;8638;601.4
1984;18349;14203;774
1985;11860;8014;675.7
1986;13524;10004;739.7
1987;13112;9921;756.6
1988;18475;16284;881.4
1989;15241;15753;1033.6
1990;8081;6260;774.7
1991;21007;18266;869.5
1992;7874;4961;630
1993;17812;17157;963.2
1994;20693;16629;803.6
1995;18729;13773;735.4
1996;18704;16070;859.2
1997;27033;23688;876.3
1998;30720;28171;917
1999;28979;28413;980.5
2000;28889;28191;975.8
2001;25601;22267;869.8
2002;27851;30373;1090.6
2003;28326;30085;1062.1
2004;27676;26997;975.5
2005;28632;32590;1138.2
2006;29947;30429;1016.1
2007;30381;31824;1047.5
2008;31163;29867;958.4
2009;34026;39397;1157.8
2010;35313;41079;1163.3
2011;35475;41182;1160.9
2012;38495;44212.6;1148.5
2013;44868;52129;1161.8
2014;68140;114725;1683.7
2015;69303;105666;1524.7
2016;64859;89413.6;1378.6
2017;61721;78657;1274.4
2018;65736;86828.1;1320.9
2019;64859;89413.6;1378.6
2020;67704;100207;1480.1
2021;68246;106761.8;1564.4
2022;69677;114211.7;1639.2
2023;39084;70479.1;1803.3
